Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
12/2/2022,23:25:39,0.173
12/2/2022,23:25:40,0.189
12/2/2022,23:25:41,0.171
12/2/2022,23:25:42,0.181
12/2/2022,23:25:43,0.195
Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
12/3/2022,0:24:45,0.112
12/3/2022,0:24:46,0.111
12/3/2022,0:24:47,0.11
12/3/2022,0:24:48,0.123
12/3/2022,0:24:49,0.12
12/3/2022,0:24:50,0.125
12/3/2022,0:24:51,0.134
12/3/2022,0:24:52,0.135
12/3/2022,0:24:53,0.134
12/3/2022,0:24:54,0.124
12/3/2022,0:24:55,0.126
12/3/2022,0:24:56,0.159
12/3/2022,0:24:57,0.14
12/3/2022,0:24:58,0.122
12/3/2022,0:24:59,0.13
12/3/2022,0:25:00,0.132
12/3/2022,0:25:01,0.134
12/3/2022,0:25:02,0.132
12/3/2022,0:25:03,0.138
12/3/2022,0:25:04,0.1
12/3/2022,0:25:05,0.137
12/3/2022,0:25:06,0.122
12/3/2022,0:25:07,0.11
12/3/2022,0:25:08,0.112
12/3/2022,0:25:09,0.108
12/3/2022,0:25:10,0.093
12/3/2022,0:25:11,0.131
12/3/2022,0:25:12,0.106
12/3/2022,0:25:13,0.102
12/3/2022,0:25:14,0.119
12/3/2022,0:25:15,0.133
12/3/2022,0:25:16,0.12
12/3/2022,0:25:17,0.112
12/3/2022,0:25:18,0.129
12/3/2022,0:25:19,0.122
12/3/2022,0:25:20,0.137
12/3/2022,0:25:21,0.153
12/3/2022,0:25:22,0.142
12/3/2022,0:25:23,0.14
12/3/2022,0:25:24,0.141
12/3/2022,0:25:25,0.13
12/3/2022,0:25:26,0.12
12/3/2022,0:25:27,0.138
12/3/2022,0:25:28,0.148
12/3/2022,0:25:29,0.109
12/3/2022,0:25:30,0.122
12/3/2022,0:25:31,0.108
12/3/2022,0:25:32,0.151
12/3/2022,0:25:33,0.111
12/3/2022,0:25:34,0.098
12/3/2022,0:25:35,0.124
12/3/2022,0:25:36,0.117
12/3/2022,0:25:37,0.092
12/3/2022,0:25:38,0.1
12/3/2022,0:25:39,0.104
12/3/2022,0:25:40,0.107
12/3/2022,0:25:41,0.101
12/3/2022,0:25:42,0.107
12/3/2022,0:25:43,0.114
12/3/2022,0:25:44,0.125
Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
12/3/2022,1:24:45,0.081
12/3/2022,1:24:46,0.085
12/3/2022,1:24:47,0.072
12/3/2022,1:24:48,0.066
12/3/2022,1:24:49,0.082
12/3/2022,1:24:50,0.115
12/3/2022,1:24:51,0.104
12/3/2022,1:24:52,0.08
12/3/2022,1:24:53,0.093
12/3/2022,1:24:54,0.08
12/3/2022,1:24:55,0.103
12/3/2022,1:24:56,0.076
12/3/2022,1:24:57,0.101
12/3/2022,1:24:58,0.078
12/3/2022,1:24:59,0.075
12/3/2022,1:25:00,0.083
12/3/2022,1:25:01,0.082
12/3/2022,1:25:02,0.076
12/3/2022,1:25:03,0.081
12/3/2022,1:25:04,0.096
12/3/2022,1:25:05,0.071
12/3/2022,1:25:06,0.082
12/3/2022,1:25:07,0.065
12/3/2022,1:25:08,0.069
12/3/2022,1:25:09,0.067
12/3/2022,1:25:10,0.067
12/3/2022,1:25:11,0.054
12/3/2022,1:25:12,0.07
12/3/2022,1:25:13,0.058
12/3/2022,1:25:14,0.063
12/3/2022,1:25:15,0.058
12/3/2022,1:25:16,0.044
12/3/2022,1:25:17,0.053
12/3/2022,1:25:18,0.058
12/3/2022,1:25:19,0.081
12/3/2022,1:25:20,0.058
12/3/2022,1:25:21,0.052
12/3/2022,1:25:22,0.064
12/3/2022,1:25:23,0.072
12/3/2022,1:25:24,0.065
12/3/2022,1:25:25,0.067
12/3/2022,1:25:26,0.074
12/3/2022,1:25:27,0.109
12/3/2022,1:25:28,0.083
12/3/2022,1:25:29,0.081
12/3/2022,1:25:30,0.073
12/3/2022,1:25:31,0.073
12/3/2022,1:25:32,0.079
12/3/2022,1:25:33,0.077
12/3/2022,1:25:34,0.064
12/3/2022,1:25:35,0.07
12/3/2022,1:25:36,0.058
12/3/2022,1:25:37,0.047
12/3/2022,1:25:38,0.043
12/3/2022,1:25:39,0.063
12/3/2022,1:25:40,0.076
12/3/2022,1:25:41,0.054
12/3/2022,1:25:42,0.049
12/3/2022,1:25:43,0.055
12/3/2022,1:25:44,0.055
Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
12/3/2022,2:24:45,0.05
12/3/2022,2:24:46,0.056
12/3/2022,2:24:47,0.058
12/3/2022,2:24:48,0.054
12/3/2022,2:24:49,0.058
12/3/2022,2:24:50,0.062
12/3/2022,2:24:51,0.066
12/3/2022,2:24:52,0.056
12/3/2022,2:24:53,0.07
12/3/2022,2:24:54,0.067
12/3/2022,2:24:55,0.098
12/3/2022,2:24:56,0.071
12/3/2022,2:24:57,0.062
12/3/2022,2:24:58,0.058
12/3/2022,2:24:59,0.053
12/3/2022,2:25:00,0.06
12/3/2022,2:25:01,0.073
12/3/2022,2:25:02,0.058
12/3/2022,2:25:03,0.06
12/3/2022,2:25:04,0.064
12/3/2022,2:25:05,0.051
12/3/2022,2:25:06,0.091
12/3/2022,2:25:07,0.051
12/3/2022,2:25:08,0.046
12/3/2022,2:25:09,0.053
12/3/2022,2:25:10,0.04
12/3/2022,2:25:11,0.047
12/3/2022,2:25:12,0.049
12/3/2022,2:25:13,0.048
12/3/2022,2:25:14,0.043
12/3/2022,2:25:15,0.056
12/3/2022,2:25:16,0.038
12/3/2022,2:25:17,0.041
12/3/2022,2:25:18,0.05
12/3/2022,2:25:19,0.053
12/3/2022,2:25:20,0.059
12/3/2022,2:25:21,0.051
12/3/2022,2:25:22,0.054
12/3/2022,2:25:23,0.057
12/3/2022,2:25:24,0.059
12/3/2022,2:25:25,0.055
12/3/2022,2:25:26,0.062
12/3/2022,2:25:27,0.055
12/3/2022,2:25:28,0.068
12/3/2022,2:25:29,0.055
12/3/2022,2:25:30,0.066
12/3/2022,2:25:31,0.065
12/3/2022,2:25:32,0.068
12/3/2022,2:25:33,0.073
12/3/2022,2:25:34,0.071
12/3/2022,2:25:35,0.062
12/3/2022,2:25:36,0.059
12/3/2022,2:25:37,0.056
12/3/2022,2:25:38,0.061
12/3/2022,2:25:39,0.067
12/3/2022,2:25:40,0.061
12/3/2022,2:25:41,0.057
12/3/2022,2:25:42,0.062
12/3/2022,2:25:43,0.079
12/3/2022,2:25:44,0.062
Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
12/3/2022,3:24:45,0.046
12/3/2022,3:24:46,0.066
12/3/2022,3:24:47,0.046
12/3/2022,3:24:48,0.047
12/3/2022,3:24:49,0.043
12/3/2022,3:24:50,0.05
12/3/2022,3:24:51,0.069
12/3/2022,3:24:52,0.053
12/3/2022,3:24:53,0.045
12/3/2022,3:24:54,0.057
12/3/2022,3:24:55,0.046
12/3/2022,3:24:56,0.053
12/3/2022,3:24:57,0.044
12/3/2022,3:24:58,0.048
12/3/2022,3:24:59,0.043
12/3/2022,3:25:00,0.047
12/3/2022,3:25:01,0.039
12/3/2022,3:25:02,0.045
12/3/2022,3:25:03,0.048
12/3/2022,3:25:04,0.052
12/3/2022,3:25:05,0.052
12/3/2022,3:25:06,0.058
12/3/2022,3:25:07,0.057
12/3/2022,3:25:08,0.058
12/3/2022,3:25:09,0.051
12/3/2022,3:25:10,0.058
12/3/2022,3:25:11,0.055
12/3/2022,3:25:12,0.048
12/3/2022,3:25:13,0.052
12/3/2022,3:25:14,0.044
12/3/2022,3:25:15,0.049
12/3/2022,3:25:16,0.039
12/3/2022,3:25:17,0.047
12/3/2022,3:25:18,0.046
12/3/2022,3:25:19,0.042
12/3/2022,3:25:20,0.045
12/3/2022,3:25:21,0.033
12/3/2022,3:25:22,0.036
12/3/2022,3:25:23,0.048
12/3/2022,3:25:24,0.036
12/3/2022,3:25:25,0.034
12/3/2022,3:25:26,0.02
