TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201701009
Test Name:,Test 1
Start Date:,07/02/2021
Start Time:,11:59:01
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.025
,Minimum:,0
,Time of Minimum:,11:59:28
,Date of Minimum:,07/02/2021
,Maximum:,0.089
,Time of Maximum:,11:59:18
,Date of Maximum:,07/02/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,07/02/2021
07/02/2021,19:59:05,0.06
07/02/2021,19:59:06,0.054
07/02/2021,19:59:07,0.042
07/02/2021,19:59:08,0.045
07/02/2021,19:59:09,0.043
07/02/2021,19:59:10,0.053
07/02/2021,19:59:11,0.047
07/02/2021,19:59:12,0.042
07/02/2021,19:59:13,0.046
07/02/2021,19:59:14,0.041
07/02/2021,19:59:15,0.04
07/02/2021,19:59:16,0.049
07/02/2021,19:59:17,0.057
07/02/2021,19:59:18,0.045
07/02/2021,19:59:19,0.051
07/02/2021,19:59:20,0.041
07/02/2021,19:59:21,0.033
07/02/2021,19:59:22,0.038
07/02/2021,19:59:23,0.048
07/02/2021,19:59:24,0.053
07/02/2021,19:59:25,0.045
07/02/2021,19:59:26,0.05
07/02/2021,19:59:27,0.041
07/02/2021,19:59:28,0.051
07/02/2021,19:59:29,0.055
07/02/2021,19:59:30,0.054
07/02/2021,19:59:31,0.047
07/02/2021,19:59:32,0.048
07/02/2021,19:59:33,0.048
07/02/2021,19:59:34,0.061
07/02/2021,19:59:35,0.052
07/02/2021,19:59:36,0.053
07/02/2021,19:59:37,0.05
07/02/2021,19:59:38,0.082
07/02/2021,19:59:39,0.052
07/02/2021,19:59:40,0.054
07/02/2021,19:59:41,0.059
07/02/2021,19:59:42,0.044
07/02/2021,19:59:43,0.04
07/02/2021,19:59:44,0.056
07/02/2021,19:59:45,0.043
07/02/2021,19:59:46,0.035
07/02/2021,19:59:47,0.047
07/02/2021,19:59:48,0.03
07/02/2021,19:59:49,0.042
07/02/2021,19:59:50,0.027
07/02/2021,19:59:51,0.025
07/02/2021,19:59:52,0.025
07/02/2021,19:59:53,0.044
07/02/2021,19:59:54,0.039
07/02/2021,19:59:55,0.047
07/02/2021,19:59:56,0.044
07/02/2021,19:59:57,0.042
07/02/2021,19:59:58,0.044
07/02/2021,19:59:59,0.055
07/02/2021,20:00:00,0.043
07/02/2021,20:00:01,0.052
07/02/2021,20:00:02,0.061

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201701009
Test Name:,Test 10
Start Date:,07/02/2021
Start Time:,08:59:02
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.031
,Minimum:,0.016
,Time of Minimum:,08:59:18
