TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
Test Name:,Test 1
Start Date:,06/11/2021
Start Time:,11:41:54
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.121
,Minimum:,0.104
,Time of Minimum:,11:42:42
,Date of Minimum:,06/11/2021
,Maximum:,0.149
,Time of Maximum:,11:42:52
,Date of Maximum:,06/11/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,06/11/2021
06/11/2021,16:42:10,0.07
06/11/2021,16:42:11,0.082
06/11/2021,16:42:12,0.083
06/11/2021,16:42:13,0.064
06/11/2021,16:42:14,0.082
06/11/2021,16:42:15,0.076
06/11/2021,16:42:16,0.09
06/11/2021,16:42:17,0.092
06/11/2021,16:42:18,0.079
06/11/2021,16:42:19,0.081
06/11/2021,16:42:20,0.088
06/11/2021,16:42:21,0.095
06/11/2021,16:42:22,0.092
06/11/2021,16:42:23,0.08
06/11/2021,16:42:24,0.088
06/11/2021,16:42:25,0.085
06/11/2021,16:42:26,0.084
06/11/2021,16:42:27,0.109
06/11/2021,16:42:28,0.104
06/11/2021,16:42:29,0.084
06/11/2021,16:42:30,0.136
06/11/2021,16:42:31,0.095
06/11/2021,16:42:32,0.09
06/11/2021,16:42:33,0.103
06/11/2021,16:42:34,0.1
06/11/2021,16:42:35,0.097
06/11/2021,16:42:36,0.082
06/11/2021,16:42:37,0.087
06/11/2021,16:42:38,0.101
06/11/2021,16:42:39,0.09
06/11/2021,16:42:40,0.12
06/11/2021,16:42:41,0.091
06/11/2021,16:42:42,0.084
06/11/2021,16:42:43,0.093
06/11/2021,16:42:44,0.084
06/11/2021,16:42:45,0.084
06/11/2021,16:42:46,0.083
06/11/2021,16:42:47,0.083
06/11/2021,16:42:48,0.069
06/11/2021,16:42:49,0.08
06/11/2021,16:42:50,0.094
06/11/2021,16:42:51,0.091
06/11/2021,16:42:52,0.094
06/11/2021,16:42:53,0.072
06/11/2021,16:42:54,0.091

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
Test Name:,Test 7
Start Date:,06/11/2021
Start Time:,05:41:54
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.065
,Minimum:,0.053
,Time of Minimum:,05:42:48
,Date of Minimum:,06/11/2021
,Maximum:,0.082
,Time of Maximum:,05:42:31
,Date of Maximum:,06/11/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,06/11/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
06/11/2021,17:41:55,0.078
06/11/2021,17:41:56,0.074
06/11/2021,17:41:57,0.069
06/11/2021,17:41:58,0.063
06/11/2021,17:41:59,0.066
06/11/2021,17:42:00,0.068
06/11/2021,17:42:01,0.061
06/11/2021,17:42:02,0.061
06/11/2021,17:42:03,0.058
06/11/2021,17:42:04,0.056
06/11/2021,17:42:05,0.064
06/11/2021,17:42:06,0.053
06/11/2021,17:42:07,0.061
06/11/2021,17:42:08,0.067
06/11/2021,17:42:09,0.072
06/11/2021,17:42:10,0.061
06/11/2021,17:42:11,0.062
06/11/2021,17:42:12,0.068
06/11/2021,17:42:13,0.074
06/11/2021,17:42:14,0.057
06/11/2021,17:42:15,0.062
06/11/2021,17:42:16,0.061
06/11/2021,17:42:17,0.065
06/11/2021,17:42:18,0.064
06/11/2021,17:42:19,0.061
06/11/2021,17:42:20,0.07
06/11/2021,17:42:21,0.062
06/11/2021,17:42:22,0.066
